5790.0,"ROAD IN ALABMA","DAY","EXT"
5804.0,"SAVANNAH","DAY","EXT"
5810.0,"PIER","DAY","EXT"
5841.0,"SAVANNAH","DAY","EXT"
5853.0,"HIGHWAY","DAY","EXT"
5900.0,"BARBERSHOP","DAY","EXT"
5908.0,"CAFE","DAY","INT"
5922.0,"BRIDGE AT MISSISIPI RIVER","DAY","EXT"
5938.0,"SAVANNAH","DAY","EXT"
5940.0,"STREET WITH HOUSES IN THE BACKGROUND","DAY","EXT"
5945.0,"SAVANNAH","DAY","EXT"
5950.0,"STREET WITH HOUSES IN THE BACKGROUND","DAY","EXT"
5973.0,"SAVANNAH","DAY","EXT"
6015.0,"TRUCK STOP","DAY","EXT"
6045.0,"DESERT VALLEY","DAY","EXT"
6134.0,"GUMP HOUSE","DAY","INT"
6153.0,"SAVANNAH","DAY","EXT"
6200.0,"JENNY'S APPARTMENT","DAY","INT"
6418.0,"PARK","DAY","EXT"
6473.0,"GUMP HOUSE","DAY","EXT"
6613.0,"GUMP HOUSE","DAY","INT"
6658.0,"VIETNAM","NIGHT","EXT"
6675.0,"BAYOU LA BATRE / ON THE BOAT","DAY","EXT"
6684.0,"MOUNTAIN LAKE","DAY","EXT"
6695.0,"DESERT VALLEY","DAY","EXT"
6708.0,"GUMP HOUSE","DAY","INT"
6738.0,"JENNY'S GRAVE","DAY","EXT"
6753.0,"OUTSIDE JENNY'S HOUSE","DAY","EXT"
6758.0,"JENNY'S GRAVE","DAY","EXT"
6777.0,"GUMP HOUSE","NIGHT","INT"
6786.0,"JENNY'S GRAVE","DAY","EXT"
6799.0,"GUMP HOUSE","NIGHT","EXT"
6806.0,"RIVERSIDE","DAY","EXT"
6813.0,"JENNY'S GRAVE","DAY","EXT"
6944.0,"SCHOOL BUS STOP","DAY","EXT"
